Tarih;Gün;Davet Edilen Aday Sayısı;Teyit Veren Aday Sayısı;Teyit Vermeyen Aday Sayısı;Teyit Verme Oranı;Sınava Katılan Aday Sayısı;Katılım Oranı;Sınav Doluluk Oranı
7112022;Monday;62;45;5;0,73;35;77,78;0,78
8112022;Tuesday;57;45;1;0,79;36;80;0,8
9112022;Wednesday;52;44;1;0,85;42;95,45;0,93
10112022;Thursday;48;43;2;0,9;41;95,35;0,91
11112022;Friday;50;43;3;0,86;43;100;0,96
14112022;Monday;51;42;3;0,82;39;92,86;0,87
15112022;Tuesday;50;44;1;0,88;40;90,91;0,89
16112022;Wednesday;60;45;8;0,75;38;84,44;0,84
17112022;Thursday;48;43;2;0,9;41;95,35;0,91
18112022;Friday;48;44;1;0,92;39;88,64;0,87
21112022;Monday;55;45;2;0,82;34;75,56;0,76
22112022;Tuesday;47;42;3;0,89;38;90,48;0,84
23112022;Wednesday;46;43;2;0,93;25;58,14;0,56
24112022;Thursday;46;45;0;0,98;38;84,44;0,84
25112022;Friday;46;41;4;0,89;39;95,12;0,87
28112022;Monday;69;36;19;0,52;24;66,67;0,53
29112022;Tuesday;61;40;12;0,66;24;60;0,53
30112022;Wednesday;46;45;0;0,98;39;86,67;0,87
1122022;Thursday;70;45;11;0,64;26;57,78;0,58
2122022;Friday;48;42;4;0,88;33;78,57;0,73
5122022;Monday;57;46;2;0,81;32;69,57;0,71
6122022;Tuesday;64;39;19;0,61;29;74,36;0,64
7122022;Wednesday;47;44;1;0,94;42;95,45;0,93
8122022;Thursday;47;36;4;0,77;26;72,22;0,58
9122022;Friday;46;41;2;0,89;40;97,56;0,89
12122022;Monday;57;52;6;0,91;37;71,15;0,82
14122022;Wednesday;55;45;5;0,82;32;71,11;0,71
15122022;Thursday;45;41;4;0,91;35;85,37;0,78
16122022;Friday;46;43;3;0,93;37;86,05;0,82
19122022;Monday;71;40;25;0,56;29;72,5;0,64
20122022;Tuesday;66;42;16;0,64;35;83,33;0,78
21122022;Wednesday;47;41;3;0,87;36;87,8;0,8
22122022;Thursday;63;47;7;0,75;37;78,72;0,82
23122022;Friday;47;44;2;0,94;37;84,09;0,82
26122022;Monday;69;43;18;0,62;34;79,07;0,76
27122022;Tuesday;51;43;2;0,84;39;90,7;0,87
28122022;Wednesday;60;45;9;0,75;27;60;0,6
29122022;Thursday;50;44;1;0,88;39;88,64;0,87
30122022;Friday;48;45;0;0,94;40;88,89;0,89
2012023;Monday;56;47;1;0,84;33;70,21;0,73
3012023;Tuesday;47;44;2;0,94;37;84,09;0,82
4012023;Wednesday;60;45;7;0,75;29;64,44;0,64
5012023;Thursday;53;45;4;0,85;36;80;0,8
6012023;Friday;49;43;2;0,88;38;88,37;0,84
9012023;Monday;67;40;22;0,6;30;75;0,67
10012023;Tuesday;56;44;7;0,79;31;70,45;0,69
11012023;Wednesday;69;47;17;0,68;33;70,21;0,73
12012023;Thursday;48;42;4;0,88;33;78,57;0,73
13012023;Friday;47;45;2;0,96;39;86,67;0,87
16012023;Monday;50;33;12;0,66;24;72,73;0,53
17012023;Tuesday;61;41;10;0,67;27;65,85;0,6
18012023;Wednesday;47;42;2;0,89;39;92,86;0,87
19012023;Thursday;59;44;9;0,75;30;68,18;0,67
20012023;Friday;46;43;3;0,93;41;95,35;0,91
23012023;Monday;68;38;24;0,56;27;71,05;0,6
24012023;Tuesday;63;47;11;0,75;30;63,83;0,67
25012023;Wednesday;46;41;5;0,89;37;90,24;0,82
26012023;Thursday;59;47;8;0,8;34;72,34;0,76
27012023;Friday;48;44;3;0,92;38;86,36;0,84
30012023;Monday;70;37;22;0,53;23;62,16;0,51
31012023;Tuesday;51;44;3;0,86;35;79,55;0,78
1022023;Wednesday;63;46;10;0,73;34;73,91;0,76
2022023;Thursday;52;46;0;0,88;37;80,43;0,82
3022023;Friday;46;45;1;0,98;40;88,89;0,89
6022023;Monday;71;27;18;0,38;10;37,04;0,22
7022023;Tuesday;52;19;26;0,37;15;78,95;0,33
8022023;Wednesday;49;9;44;0,18;9;100;0,2
9022023;Thursday;74;37;9;0,5;15;40,54;0,33
10022023;Friday;49;15;31;0,31;15;100;0,33
13022023;Monday;53;36;8;0,68;12;33,33;0,27
15022023;Wednesday;60;10;18;0,17;8;80;0,18
16022023;Thursday;55;44;4;0,8;38;86,36;0,84
17022023;Friday;47;38;9;0,81;35;92,11;0,78
20022023;Monday;67;42;15;0,63;23;54,76;0,51
21022023;Tuesday;64;37;18;0,58;25;67,57;0,56
22022023;Wednesday;54;44;4;0,81;35;79,55;0,78
23022023;Thursday;80;47;24;0,59;30;63,83;0,67
24022023;Friday;62;46;9;0,74;41;89,13;0,91
27022023;Monday;59;47;8;0,8;30;63,83;0,67
28022023;Tuesday;71;44;19;0,62;21;47,73;0,47
1032023;Wednesday;49;45;1;0,92;33;73,33;0,73
2032023;Thursday;75;47;14;0,63;25;53,19;0,56
3032023;Friday;62;47;6;0,76;28;59,57;0,62
6032023;Monday;75;47;21;0,63;23;48,94;0,51
7032023;Tuesday;61;45;12;0,74;28;62,22;0,62
8032023;Wednesday;50;46;3;0,92;42;91,3;0,93
9032023;Thursday;71;44;21;0,62;30;68,18;0,67
10032023;Friday;48;44;3;0,92;35;79,55;0,78
13032023;Monday;70;47;15;0,67;37;78,72;0,82
14032023;Tuesday;69;47;17;0,68;29;61,7;0,64
15032023;Wednesday;55;49;0;0,89;38;77,55;0,84
16032023;Thursday;50;46;2;0,92;42;91,3;0,93
17032023;Friday;62;46;7;0,74;28;60,87;0,62
20032023;Monday;50;47;1;0,94;41;87,23;0,91
21032023;Tuesday;68;48;13;0,71;35;72,92;0,78
22032023;Wednesday;55;48;1;0,87;33;68,75;0,73
23032023;Thursday;50;47;1;0,94;36;76,6;0,8
24032023;Friday;50;45;0;0,9;38;84,44;0,84
27032023;Monday;73;35;31;0,48;21;60;0,47
28032023;Tuesday;77;41;27;0,53;28;68,29;0,62
29032023;Wednesday;59;49;6;0,83;40;81,63;0,89
30032023;Thursday;53;47;2;0,89;34;72,34;0,76
31032023;Friday;79;33;42;0,42;18;54,55;0,4
3042023;Monday;50;47;1;0,94;41;87,23;0,91
4042023;Tuesday;58;44;5;0,76;23;52,27;0,51
22052023;Monday;19;19;0;1;19;100;0,42
25052023;Thursday;68;45;13;0,66;20;44,44;0,44
29052023;Monday;63;45;12;0,71;22;48,89;0,49
31052023;Wednesday;54;45;6;0,83;27;60;0,6
1062023;Thursday;48;42;2;0,88;22;52,38;0,49
12062023;Monday;53;43;3;0,81;30;69,77;0,67
13062023;Tuesday;66;38;16;0,58;22;57,89;0,49
14062023;Wednesday;49;44;2;0,9;40;90,91;0,89
15062023;Thursday;75;42;17;0,56;20;47,62;0,44
16062023;Friday;66;48;13;0,73;33;68,75;0,73
19062023;Monday;48;45;3;0,94;31;68,89;0,69
3072023;Monday;60;44;9;0,73;25;56,82;0,56
5072023;Wednesday;58;47;3;0,81;33;70,21;0,73
6072023;Thursday;49;44;3;0,9;40;90,91;0,89
7072023;Friday;52;45;1;0,87;28;62,22;0,62
10072023;Monday;48;43;4;0,9;37;86,05;0,82
12072023;Wednesday;51;46;3;0,9;35;76,09;0,78
13072023;Thursday;50;46;0;0,92;36;78,26;0,8
14072023;Friday;50;46;1;0,92;34;73,91;0,76
17072023;Monday;54;46;7;0,85;33;71,74;0,73
18072023;Tuesday;58;45;2;0,78;23;51,11;0,51
19072023;Wednesday;19;19;0;1;18;94,74;0,4
20072023;Thursday;50;41;5;0,82;33;80,49;0,73
21072023;Friday;48;44;2;0,92;34;77,27;0,76
24072023;Monday;48;44;3;0,92;39;88,64;0,87
26072023;Wednesday;71;46;14;0,65;22;47,83;0,49
28072023;Friday;61;46;7;0,75;28;60,87;0,62
31072023;Monday;59;47;9;0,8;36;76,6;0,8
1082023;Tuesday;64;44;6;0,69;26;59,09;0,58
2082023;Wednesday;50;46;1;0,92;39;84,78;0,87
3082023;Thursday;49;46;0;0,94;37;80,43;0,82
4082023;Friday;48;45;2;0,94;36;80;0,8
7082023;Monday;57;47;7;0,82;37;78,72;0,82
8082023;Tuesday;62;46;12;0,74;31;67,39;0,69
9082023;Wednesday;57;46;15;0,81;37;80,43;0,82
10082023;Thursday;50;44;3;0,88;36;81,82;0,8
11082023;Friday;48;44;3;0,92;32;72,73;0,71
14082023;Monday;48;44;3;0,92;32;72,73;0,71
22082023;Tuesday;73;46;16;0,63;25;54,35;0,56
23082023;Wednesday;67;46;16;0,69;28;60,87;0,62
24082023;Thursday;63;46;7;0,73;30;65,22;0,67
25082023;Friday;52;49;0;0,94;37;75,51;0,82
28082023;Monday;49;42;7;0,86;39;92,86;0,87
29082023;Tuesday;48;45;2;0,94;39;86,67;0,87
31082023;Thursday;20;17;3;0,85;15;88,24;0,33
1092023;Friday;58;46;1;0,79;33;71,74;0,73
4092023;Monday;57;47;3;0,82;37;78,72;0,82
5092023;Tuesday;51;43;5;0,84;38;88,37;0,84
6092023;Wednesday;49;46;2;0,94;37;80,43;0,82
7092023;Thursday;48;47;0;0,98;36;76,6;0,8
8092023;Friday;48;46;3;0,96;39;84,78;0,87
11092023;Monday;65;48;3;0,74;30;62,5;0,67
12092023;Tuesday;70;44;10;0,63;32;72,73;0,71
13092023;Wednesday;48;45;1;0,94;38;84,44;0,84
14092023;Thursday;49;46;0;0,94;40;86,96;0,89
15092023;Friday;48;41;5;0,85;33;80,49;0,73
18092023;Monday;68;46;6;0,68;27;58,7;0,6
19092023;Tuesday;77;48;11;0,62;21;43,75;0,47
20092023;Wednesday;52;39;8;0,75;21;53,85;0,47
21092023;Thursday;50;45;5;0,9;35;77,78;0,78
22092023;Friday;50;46;3;0,92;34;73,91;0,76
25092023;Monday;67;48;5;0,72;22;45,83;0,49
26092023;Tuesday;76;48;12;0,63;16;33,33;0,36
27092023;Wednesday;62;48;4;0,77;24;50;0,53
28092023;Thursday;49;46;2;0,94;26;56,52;0,58
29092023;Friday;54;49;1;0,91;32;65,31;0,71
2102023;Monday;55;47;1;0,85;27;57,45;0,6
3102023;Tuesday;73;46;20;0,63;19;41,3;0,42
4102023;Wednesday;62;48;7;0,77;30;62,5;0,67
5102023;Thursday;48;44;4;0,92;31;70,45;0,69
6102023;Friday;50;45;3;0,9;31;68,89;0,69
9102023;Monday;72;48;18;0,67;21;43,75;0,47
10102023;Tuesday;82;48;27;0,59;17;35,42;0,38
11102023;Wednesday;64;48;8;0,75;30;62,5;0,67
12102023;Thursday;52;48;0;0,92;30;62,5;0,67
13102023;Friday;59;47;3;0,8;24;51,06;0,53
16102023;Monday;75;49;22;0,65;29;59,18;0,64
17102023;Tuesday;89;51;26;0,57;19;37,25;0,42
18102023;Wednesday;64;52;2;0,81;30;57,69;0,67
19102023;Thursday;59;48;5;0,81;32;66,67;0,71
13112023;Monday;59;51;4;0,86;23;45,1;0,51
14112023;Tuesday;78;49;23;0,63;19;38,78;0,42
15112023;Wednesday;66;48;10;0,73;20;41,67;0,44
16112023;Thursday;54;48;1;0,89;25;52,08;0,56
